filename,variables,ranges,expression_original,expression_prefix,expression_prefix_masked,token_types,constant_dict
I.12.5,"['q2', 'Ef']","[(1.0, 5.0), (1.0, 5.0)]",q2*Ef,MUL q2 Ef,MUL VAR_1 VAR_2,OP_MUL VAR_1 VAR_2,"{}"
I.12.11,"['q', 'Ef', 'B', 'v', 'theta']","[(1.0, 5.0), (1.0, 5.0), (1.0, 5.0), (1.0, 5.0), (1.0, 5.0)]",q*(Ef+B*v*sin(theta)),MUL q ADD Ef MUL MUL B v sin theta,MUL VAR_1 ADD VAR_2 MUL MUL VAR_3 VAR_4 sin VAR_5,OP_MUL VAR_1 OP_ADD VAR_2 OP_MUL OP_MUL VAR_3 VAR_4 FUNC_sin VAR_5,"{}"
I.13.4,"['m', 'v', 'u', 'w']","[(1.0, 5.0), (1.0, 5.0), (1.0, 5.0), (1.0, 5.0)]",1/2*m*(v**2+u**2+w**2),MUL MUL DIV 1 2 m ADD ADD POW v 2 POW u 2 POW w 2,MUL MUL DIV <C_0> <C_1> VAR_1 ADD ADD POW VAR_2 <C_1> POW VAR_3 <C_1> POW VAR_4 <C_1>,OP_MUL OP_MUL OP_DIV NUM NUM VAR_1 OP_ADD OP_ADD OP_POW VAR_2 NUM OP_POW VAR_3 NUM OP_POW VAR_4 NUM,"{'<C_0>': 1.0, '<C_1>': 2.0}"
I.13.12,"['m1', 'm2', 'r1', 'r2', 'G']","[(1.0, 5.0), (1.0, 5.0), (1.0, 5.0), (1.0, 5.0), (1.0, 5.0)]",G*m1*m2*(1/r2-1/r1),MUL MUL MUL G m1 m2 SUB DIV 1 r2 DIV 1 r1,MUL MUL MUL VAR_1 VAR_2 VAR_3 SUB DIV <C_0> VAR_4 DIV <C_0> VAR_5,OP_MUL OP_MUL OP_MUL VAR_1 VAR_2 VAR_3 OP_SUB OP_DIV NUM VAR_4 OP_DIV NUM VAR_5,"{'<C_0>': 1.0}"
I.14.3,"['m', 'g', 'z']","[(1.0, 5.0), (1.0, 5.0), (1.0, 5.0)]",m*g*z,MUL MUL m g z,MUL MUL VAR_1 VAR_2 VAR_3,OP_MUL OP_MUL VAR_1 VAR_2 VAR_3,"{}"
I.14.4,"['k_spring', 'x']","[(1.0, 5.0), (1.0, 5.0)]",1/2*k_spring*x**2,MUL MUL DIV 1 2 k_spring POW x 2,MUL MUL DIV <C_0> <C_1> VAR_1 POW VAR_2 <C_1>,OP_MUL OP_MUL OP_DIV NUM NUM VAR_1 OP_POW VAR_2 NUM,"{'<C_0>': 1.0, '<C_1>': 2.0}"
I.15.3x,"['x', 'u', 'c', 't']","[(5.0, 10.0), (1.0, 2.0), (3.0, 20.0), (1.0, 2.0)]",(x-u*t)/sqrt(1-u**2/c**2),DIV SUB x MUL u t sqrt SUB 1 DIV POW u 2 POW c 2,DIV SUB VAR_1 MUL VAR_2 VAR_3 sqrt SUB <C_0> DIV POW VAR_2 <C_1> POW VAR_4 <C_1>,OP_DIV OP_SUB VAR_1 OP_MUL VAR_2 VAR_3 FUNC_sqrt OP_SUB NUM OP_DIV OP_POW VAR_2 NUM OP_POW VAR_4 NUM,"{'<C_0>': 1.0, '<C_1>': 2.0}"
I.15.3t,"['x', 'c', 'u', 't']","[(1.0, 5.0), (3.0, 10.0), (1.0, 2.0), (1.0, 5.0)]",(t-u*x/c**2)/sqrt(1-u**2/c**2),DIV SUB t DIV MUL u x POW c 2 sqrt SUB 1 DIV POW u 2 POW c 2,DIV SUB VAR_1 DIV MUL VAR_2 VAR_3 POW VAR_4 <C_0> sqrt SUB <C_1> DIV POW VAR_2 <C_0> POW VAR_4 <C_0>,OP_DIV OP_SUB VAR_1 OP_DIV OP_MUL VAR_2 VAR_3 OP_POW VAR_4 NUM FUNC_sqrt OP_SUB NUM OP_DIV OP_POW VAR_2 NUM OP_POW VAR_4 NUM,"{'<C_0>': 2.0, '<C_1>': 1.0}"
I.15.1,"['m_0', 'v', 'c']","[(1.0, 5.0), (1.0, 2.0), (3.0, 10.0)]",m_0*v/sqrt(1-v**2/c**2),DIV MUL m_0 v sqrt SUB 1 DIV POW v 2 POW c 2,DIV MUL VAR_1 VAR_2 sqrt SUB <C_0> DIV POW VAR_2 <C_1> POW VAR_3 <C_1>,OP_DIV OP_MUL VAR_1 VAR_2 FUNC_sqrt OP_SUB NUM OP_DIV OP_POW VAR_2 NUM OP_POW VAR_3 NUM,"{'<C_0>': 1.0, '<C_1>': 2.0}"
I.16.6,"['c', 'v', 'u']","[(1.0, 5.0), (1.0, 5.0), (1.0, 5.0)]",(u+v)/(1+u*v/c**2),DIV ADD u v ADD 1 DIV MUL u v POW c 2,DIV ADD VAR_1 VAR_2 ADD <C_0> DIV MUL VAR_1 VAR_2 POW VAR_3 <C_1>,OP_DIV OP_ADD VAR_1 VAR_2 OP_ADD NUM OP_DIV OP_MUL VAR_1 VAR_2 OP_POW VAR_3 NUM,"{'<C_0>': 1.0, '<C_1>': 2.0}"
I.18.4,"['m1', 'm2', 'r1', 'r2']","[(1.0, 5.0), (1.0, 5.0), (1.0, 5.0), (1.0, 5.0)]",(m1*r1+m2*r2)/(m1+m2),DIV ADD MUL m1 r1 MUL m2 r2 ADD m1 m2,DIV ADD MUL VAR_1 VAR_2 MUL VAR_3 VAR_4 ADD VAR_1 VAR_3,OP_DIV OP_ADD OP_MUL VAR_1 VAR_2 OP_MUL VAR_3 VAR_4 OP_ADD VAR_1 VAR_3,"{}"
I.18.12,"['r', 'F', 'theta']","[(1.0, 5.0), (1.0, 5.0), (0.0, 5.0)]",r*F*sin(theta),MUL MUL r F sin theta,MUL MUL VAR_1 VAR_2 sin VAR_3,OP_MUL OP_MUL VAR_1 VAR_2 FUNC_sin VAR_3,"{}"
I.18.14,"['m', 'r', 'v', 'theta']","[(1.0, 5.0), (1.0, 5.0), (1.0, 5.0), (1.0, 5.0)]",m*r*v*sin(theta),MUL MUL MUL m r v sin theta,MUL MUL MUL VAR_1 VAR_2 VAR_3 sin VAR_4,OP_MUL OP_MUL OP_MUL VAR_1 VAR_2 VAR_3 FUNC_sin VAR_4,"{}"
I.24.6,"['m', 'omega', 'omega_0', 'x']","[(1.0, 3.0), (1.0, 3.0), (1.0, 3.0), (1.0, 3.0)]",1/2*m*(omega**2+omega_0**2)*1/2*x**2,MUL DIV MUL MUL MUL DIV 1 2 m ADD POW omega 2 POW omega_0 2 1 2 POW x 2,MUL DIV MUL MUL MUL DIV <C_0> <C_1> VAR_1 ADD POW VAR_2 <C_1> POW VAR_3 <C_1> <C_0> <C_1> POW VAR_4 <C_1>,OP_MUL OP_DIV OP_MUL OP_MUL OP_MUL OP_DIV NUM NUM VAR_1 OP_ADD OP_POW VAR_2 NUM OP_POW VAR_3 NUM NUM NUM OP_POW VAR_4 NUM,"{'<C_0>': 1.0, '<C_1>': 2.0}"
I.25.13,"['q', 'C']","[(1.0, 5.0), (1.0, 5.0)]",q/C,DIV q C,DIV VAR_1 VAR_2,OP_DIV VAR_1 VAR_2,"{}"
I.26.2,"['n', 'theta2']","[(0.0, 1.0), (1.0, 5.0)]",arcsin(n*sin(theta2)),arcsin MUL n sin theta2,arcsin MUL VAR_1 sin VAR_2,FUNC_arcsin OP_MUL VAR_1 FUNC_sin VAR_2,"{}"
I.27.6,"['d1', 'd2', 'n']","[(1.0, 5.0), (1.0, 5.0), (1.0, 5.0)]",1/(1/d1+n/d2),DIV 1 ADD DIV 1 d1 DIV n d2,DIV <C_0> ADD DIV <C_0> VAR_1 DIV VAR_2 VAR_3,OP_DIV NUM OP_ADD OP_DIV NUM VAR_1 OP_DIV VAR_2 VAR_3,"{'<C_0>': 1.0}"
I.29.4,"['omega', 'c']","[(1.0, 10.0), (1.0, 10.0)]",omega/c,DIV omega c,DIV VAR_1 VAR_2,OP_DIV VAR_1 VAR_2,"{}"
I.29.16,"['x1', 'x2', 'theta1', 'theta2']","[(1.0, 5.0), (1.0, 5.0), (1.0, 5.0), (1.0, 5.0)]",sqrt(x1**2+x2**2-2*x1*x2*cos(theta1-theta2)),sqrt SUB ADD POW x1 2 POW x2 2 MUL MUL MUL 2 x1 x2 cos SUB theta1 theta2,sqrt SUB ADD POW VAR_1 <C_0> POW VAR_2 <C_0> MUL MUL MUL <C_0> VAR_1 VAR_2 cos SUB VAR_3 VAR_4,FUNC_sqrt OP_SUB OP_ADD OP_POW VAR_1 NUM OP_POW VAR_2 NUM OP_MUL OP_MUL OP_MUL NUM VAR_1 VAR_2 FUNC_cos OP_SUB VAR_3 VAR_4,"{'<C_0>': 2.0}"
I.30.3,"['Int_0', 'theta', 'n']","[(1.0, 5.0), (1.0, 5.0), (1.0, 5.0)]",Int_0*sin(n*theta/2)**2/sin(theta/2)**2,DIV MUL Int_0 POW sin DIV MUL n theta 2 2 POW sin DIV theta 2 2,DIV MUL VAR_1 POW sin DIV MUL VAR_2 VAR_3 <C_0> <C_0> POW sin DIV VAR_3 <C_0> <C_0>,OP_DIV OP_MUL VAR_1 OP_POW FUNC_sin OP_DIV OP_MUL VAR_2 VAR_3 NUM NUM OP_POW FUNC_sin OP_DIV VAR_3 NUM NUM,"{'<C_0>': 2.0}"
I.30.5,"['lambd', 'd', 'n']","[(1.0, 2.0), (2.0, 5.0), (1.0, 5.0)]",arcsin(lambd/(n*d)),arcsin DIV lambd MUL n d,arcsin DIV VAR_1 MUL VAR_2 VAR_3,FUNC_arcsin OP_DIV VAR_1 OP_MUL VAR_2 VAR_3,"{}"
I.32.5,"['q', 'a', 'epsilon', 'c']","[(1.0, 5.0), (1.0, 5.0), (1.0, 5.0), (1.0, 5.0)]",q**2*a**2/(6*pi*epsilon*c**3),DIV MUL POW q 2 POW a 2 MUL MUL MUL 6 pi epsilon POW c 3,DIV MUL POW VAR_1 <C_0> POW VAR_2 <C_0> MUL MUL MUL <C_1> pi VAR_3 POW VAR_4 <C_2>,OP_DIV OP_MUL OP_POW VAR_1 NUM OP_POW VAR_2 NUM OP_MUL OP_MUL OP_MUL NUM CONST_pi VAR_3 OP_POW VAR_4 NUM,"{'<C_0>': 2.0, '<C_1>': 6.0, '<C_2>': 3.0}"
I.32.17,"['epsilon', 'c', 'Ef', 'r', 'omega', 'omega_0']","[(1.0, 2.0), (1.0, 2.0), (1.0, 2.0), (1.0, 2.0), (1.0, 2.0), (3.0, 5.0)]",(1/2*epsilon*c*Ef**2)*(8*pi*r**2/3)*(omega**4/(omega**2-omega_0**2)**2),MUL MUL MUL MUL MUL DIV 1 2 epsilon c POW Ef 2 DIV MUL MUL 8 pi POW r 2 3 DIV POW omega 4 POW SUB POW omega 2 POW omega_0 2 2,MUL MUL MUL MUL MUL DIV <C_0> <C_1> VAR_1 VAR_2 POW VAR_3 <C_1> DIV MUL MUL <C_2> pi POW VAR_4 <C_1> <C_3> DIV POW VAR_5 <C_4> POW SUB POW VAR_5 <C_1> POW VAR_6 <C_1> <C_1>,OP_MUL OP_MUL OP_MUL OP_MUL OP_MUL OP_DIV NUM NUM VAR_1 VAR_2 OP_POW VAR_3 NUM OP_DIV OP_MUL OP_MUL NUM CONST_pi OP_POW VAR_4 NUM NUM OP_DIV OP_POW VAR_5 NUM OP_POW OP_SUB OP_POW VAR_5 NUM OP_POW VAR_6 NUM NUM,"{'<C_0>': 1.0, '<C_1>': 2.0, '<C_2>': 8.0, '<C_3>': 3.0, '<C_4>': 4.0}"
I.34.8,"['q', 'v', 'B', 'p']","[(1.0, 5.0), (1.0, 5.0), (1.0, 5.0), (1.0, 5.0)]",q*v*B/p,DIV MUL MUL q v B p,DIV MUL MUL VAR_1 VAR_2 VAR_3 VAR_4,OP_DIV OP_MUL OP_MUL VAR_1 VAR_2 VAR_3 VAR_4,"{}"
I.34.1,"['c', 'v', 'omega_0']","[(3.0, 10.0), (1.0, 2.0), (1.0, 5.0)]",omega_0/(1-v/c),DIV omega_0 SUB 1 DIV v c,DIV VAR_1 SUB <C_0> DIV VAR_2 VAR_3,OP_DIV VAR_1 OP_SUB NUM OP_DIV VAR_2 VAR_3,"{'<C_0>': 1.0}"
I.34.14,"['c', 'v', 'omega_0']","[(3.0, 10.0), (1.0, 2.0), (1.0, 5.0)]",(1+v/c)/sqrt(1-v**2/c**2)*omega_0,MUL DIV ADD 1 DIV v c sqrt SUB 1 DIV POW v 2 POW c 2 omega_0,MUL DIV ADD <C_0> DIV VAR_1 VAR_2 sqrt SUB <C_0> DIV POW VAR_1 <C_1> POW VAR_2 <C_1> VAR_3,OP_MUL OP_DIV OP_ADD NUM OP_DIV VAR_1 VAR_2 FUNC_sqrt OP_SUB NUM OP_DIV OP_POW VAR_1 NUM OP_POW VAR_2 NUM VAR_3,"{'<C_0>': 1.0, '<C_1>': 2.0}"
I.34.27,"['omega', 'h']","[(1.0, 5.0), (1.0, 5.0)]",(h/(2*pi))*omega,MUL DIV h MUL 2 pi omega,MUL DIV VAR_1 MUL <C_0> pi VAR_2,OP_MUL OP_DIV VAR_1 OP_MUL NUM CONST_pi VAR_2,"{'<C_0>': 2.0}"
I.37.4,"['I1', 'I2', 'delta']","[(1.0, 5.0), (1.0, 5.0), (1.0, 5.0)]",I1+I2+2*sqrt(I1*I2)*cos(delta),ADD ADD I1 I2 MUL MUL 2 sqrt MUL I1 I2 cos delta,ADD ADD VAR_1 VAR_2 MUL MUL <C_0> sqrt MUL VAR_1 VAR_2 cos VAR_3,OP_ADD OP_ADD VAR_1 VAR_2 OP_MUL OP_MUL NUM FUNC_sqrt OP_MUL VAR_1 VAR_2 FUNC_cos VAR_3,"{'<C_0>': 2.0}"
I.38.12,"['m', 'q', 'h', 'epsilon']","[(1.0, 5.0), (1.0, 5.0), (1.0, 5.0), (1.0, 5.0)]",4*pi*epsilon*(h/(2*pi))**2/(m*q**2),DIV MUL MUL MUL 4 pi epsilon POW DIV h MUL 2 pi 2 MUL m POW q 2,DIV MUL MUL MUL <C_0> pi VAR_1 POW DIV VAR_2 MUL <C_1> pi <C_1> MUL VAR_3 POW VAR_4 <C_1>,OP_DIV OP_MUL OP_MUL OP_MUL NUM CONST_pi VAR_1 OP_POW OP_DIV VAR_2 OP_MUL NUM CONST_pi NUM OP_MUL VAR_3 OP_POW VAR_4 NUM,"{'<C_0>': 4.0, '<C_1>': 2.0}"
I.39.1,"['pr', 'V']","[(1.0, 5.0), (1.0, 5.0)]",3/2*pr*V,MUL MUL DIV 3 2 pr V,MUL MUL DIV <C_0> <C_1> VAR_1 VAR_2,OP_MUL OP_MUL OP_DIV NUM NUM VAR_1 VAR_2,"{'<C_0>': 3.0, '<C_1>': 2.0}"
I.39.11,"['gamma', 'pr', 'V']","[(2.0, 5.0), (1.0, 5.0), (1.0, 5.0)]",1/(gamma-1)*pr*V,MUL MUL DIV 1 SUB gamma 1 pr V,MUL MUL DIV <C_0> SUB VAR_1 <C_0> VAR_2 VAR_3,OP_MUL OP_MUL OP_DIV NUM OP_SUB VAR_1 NUM VAR_2 VAR_3,"{'<C_0>': 1.0}"
I.39.22,"['n', 'T', 'V', 'kb']","[(1.0, 5.0), (1.0, 5.0), (1.0, 5.0), (1.0, 5.0)]",n*kb*T/V,DIV MUL MUL n kb T V,DIV MUL MUL VAR_1 VAR_2 VAR_3 VAR_4,OP_DIV OP_MUL OP_MUL VAR_1 VAR_2 VAR_3 VAR_4,"{}"
I.40.1,"['n_0', 'm', 'x', 'T', 'g', 'kb']","[(1.0, 5.0), (1.0, 5.0), (1.0, 5.0), (1.0, 5.0), (1.0, 5.0), (1.0, 5.0)]",n_0*exp(-m*g*x/(kb*T)),MUL n_0 exp DIV MUL MUL NEG m g x MUL kb T,MUL VAR_1 exp DIV MUL MUL NEG VAR_2 VAR_3 VAR_4 MUL VAR_5 VAR_6,OP_MUL VAR_1 FUNC_exp OP_DIV OP_MUL OP_MUL OP_NEG VAR_2 VAR_3 VAR_4 OP_MUL VAR_5 VAR_6,"{}"
I.41.16,"['omega', 'T', 'h', 'kb', 'c']","[(1.0, 5.0), (1.0, 5.0), (1.0, 5.0), (1.0, 5.0), (1.0, 5.0)]",h/(2*pi)*omega**3/(pi**2*c**2*(exp((h/(2*pi))*omega/(kb*T))-1)),DIV MUL DIV h MUL 2 pi POW omega 3 MUL MUL POW pi 2 POW c 2 SUB exp DIV MUL DIV h MUL 2 pi omega MUL kb T 1,DIV MUL DIV VAR_1 MUL <C_0> pi POW VAR_2 <C_1> MUL MUL POW pi <C_0> POW VAR_3 <C_0> SUB exp DIV MUL DIV VAR_1 MUL <C_0> pi VAR_2 MUL VAR_4 VAR_5 <C_2>,OP_DIV OP_MUL OP_DIV VAR_1 OP_MUL NUM CONST_pi OP_POW VAR_2 NUM OP_MUL OP_MUL OP_POW CONST_pi NUM OP_POW VAR_3 NUM OP_SUB FUNC_exp OP_DIV OP_MUL OP_DIV VAR_1 OP_MUL NUM CONST_pi VAR_2 OP_MUL VAR_4 VAR_5 NUM,"{'<C_0>': 2.0, '<C_1>': 3.0, '<C_2>': 1.0}"
I.43.16,"['mu_drift', 'q', 'Volt', 'd']","[(1.0, 5.0), (1.0, 5.0), (1.0, 5.0), (1.0, 5.0)]",mu_drift*q*Volt/d,DIV MUL MUL mu_drift q Volt d,DIV MUL MUL VAR_1 VAR_2 VAR_3 VAR_4,OP_DIV OP_MUL OP_MUL VAR_1 VAR_2 VAR_3 VAR_4,"{}"
I.43.31,"['mob', 'T', 'kb']","[(1.0, 5.0), (1.0, 5.0), (1.0, 5.0)]",mob*kb*T,MUL MUL mob kb T,MUL MUL VAR_1 VAR_2 VAR_3,OP_MUL OP_MUL VAR_1 VAR_2 VAR_3,"{}"
I.43.43,"['gamma', 'kb', 'A', 'v']","[(2.0, 5.0), (1.0, 5.0), (1.0, 5.0), (1.0, 5.0)]",1/(gamma-1)*kb*v/A,DIV MUL MUL DIV 1 SUB gamma 1 kb v A,DIV MUL MUL DIV <C_0> SUB VAR_1 <C_0> VAR_2 VAR_3 VAR_4,OP_DIV OP_MUL OP_MUL OP_DIV NUM OP_SUB VAR_1 NUM VAR_2 VAR_3 VAR_4,"{'<C_0>': 1.0}"
I.44.4,"['n', 'kb', 'T', 'V1', 'V2']","[(1.0, 5.0), (1.0, 5.0), (1.0, 5.0), (1.0, 5.0), (1.0, 5.0)]",n*kb*T*ln(V2/V1),MUL MUL MUL n kb T ln DIV V2 V1,MUL MUL MUL VAR_1 VAR_2 VAR_3 ln DIV VAR_4 VAR_5,OP_MUL OP_MUL OP_MUL VAR_1 VAR_2 VAR_3 FUNC_ln OP_DIV VAR_4 VAR_5,"{}"
I.47.23,"['gamma', 'pr', 'rho']","[(1.0, 5.0), (1.0, 5.0), (1.0, 5.0)]",sqrt(gamma*pr/rho),sqrt DIV MUL gamma pr rho,sqrt DIV MUL VAR_1 VAR_2 VAR_3,FUNC_sqrt OP_DIV OP_MUL VAR_1 VAR_2 VAR_3,"{}"
I.48.2,"['m', 'v', 'c']","[(1.0, 5.0), (1.0, 2.0), (3.0, 10.0)]",m*c**2/sqrt(1-v**2/c**2),DIV MUL m POW c 2 sqrt SUB 1 DIV POW v 2 POW c 2,DIV MUL VAR_1 POW VAR_2 <C_0> sqrt SUB <C_1> DIV POW VAR_3 <C_0> POW VAR_2 <C_0>,OP_DIV OP_MUL VAR_1 OP_POW VAR_2 NUM FUNC_sqrt OP_SUB NUM OP_DIV OP_POW VAR_3 NUM OP_POW VAR_2 NUM,"{'<C_0>': 2.0, '<C_1>': 1.0}"
I.50.26,"['x1', 'omega', 't', 'alpha']","[(1.0, 3.0), (1.0, 3.0), (1.0, 3.0), (1.0, 3.0)]",x1*(cos(omega*t)+alpha*cos(omega*t)**2),MUL x1 ADD cos MUL omega t MUL alpha POW cos MUL omega t 2,MUL VAR_1 ADD cos MUL VAR_2 VAR_3 MUL VAR_4 POW cos MUL VAR_2 VAR_3 <C_0>,OP_MUL VAR_1 OP_ADD FUNC_cos OP_MUL VAR_2 VAR_3 OP_MUL VAR_4 OP_POW FUNC_cos OP_MUL VAR_2 VAR_3 NUM,"{'<C_0>': 2.0}"
II.2.42,"['kappa', 'T1', 'T2', 'A', 'd']","[(1.0, 5.0), (1.0, 5.0), (1.0, 5.0), (1.0, 5.0), (1.0, 5.0)]",kappa*(T2-T1)*A/d,DIV MUL MUL kappa SUB T2 T1 A d,DIV MUL MUL VAR_1 SUB VAR_2 VAR_3 VAR_4 VAR_5,OP_DIV OP_MUL OP_MUL VAR_1 OP_SUB VAR_2 VAR_3 VAR_4 VAR_5,"{}"
II.3.24,"['Pwr', 'r']","[(1.0, 5.0), (1.0, 5.0)]",Pwr/(4*pi*r**2),DIV Pwr MUL MUL 4 pi POW r 2,DIV VAR_1 MUL MUL <C_0> pi POW VAR_2 <C_1>,OP_DIV VAR_1 OP_MUL OP_MUL NUM CONST_pi OP_POW VAR_2 NUM,"{'<C_0>': 4.0, '<C_1>': 2.0}"
II.4.23,"['q', 'epsilon', 'r']","[(1.0, 5.0), (1.0, 5.0), (1.0, 5.0)]",q/(4*pi*epsilon*r),DIV q MUL MUL MUL 4 pi epsilon r,DIV VAR_1 MUL MUL MUL <C_0> pi VAR_2 VAR_3,OP_DIV VAR_1 OP_MUL OP_MUL OP_MUL NUM CONST_pi VAR_2 VAR_3,"{'<C_0>': 4.0}"
II.6.11,"['epsilon', 'p_d', 'theta', 'r']","[(1.0, 3.0), (1.0, 3.0), (1.0, 3.0), (1.0, 3.0)]",1/(4*pi*epsilon)*p_d*cos(theta)/r**2,DIV MUL MUL DIV 1 MUL MUL 4 pi epsilon p_d cos theta POW r 2,DIV MUL MUL DIV <C_0> MUL MUL <C_1> pi VAR_1 VAR_2 cos VAR_3 POW VAR_4 <C_2>,OP_DIV OP_MUL OP_MUL OP_DIV NUM OP_MUL OP_MUL NUM CONST_pi VAR_1 VAR_2 FUNC_cos VAR_3 OP_POW VAR_4 NUM,"{'<C_0>': 1.0, '<C_1>': 4.0, '<C_2>': 2.0}"
