filename,variables,ranges,expression_infix,expression_prefix,token_types,expression_prefix_masked,constant_dict
I.18.14,"['m','r','v','theta']","[(1.0,5.0),(1.0,5.0),(1.0,5.0),(1.0,5.0)]",m MUL r MUL v MUL sin ( theta ),MUL MUL MUL m r v sin theta,OP_MUL OP_MUL OP_MUL VAR VAR VAR FUNC VAR,MUL MUL MUL m r v sin theta,"{}"
I.24.6,"['m','omega','omega_0','x']","[(1.0,3.0),(1.0,3.0),(1.0,3.0),(1.0,3.0)]",1 DIV 2 MUL m MUL ( omega POW 2 ADD omega_0 POW 2 ) MUL 1 DIV 2 MUL x POW 2,MUL DIV MUL MUL MUL DIV 1 2 m ADD POW omega 2 POW omega_0 2 1 2 POW x 2,OP_MUL OP_DIV OP_MUL OP_MUL OP_MUL OP_DIV NUM NUM VAR OP_ADD OP_POW VAR NUM OP_POW VAR NUM NUM NUM OP_POW VAR NUM,MUL DIV MUL MUL MUL DIV <C_0> <C_1> m ADD POW omega <C_1> POW omega_0 <C_1> <C_0> <C_1> POW x <C_1>,"{'<C_0>': 1.0,'<C_1>': 2.0}"
I.25.13,"['q','C']","[(1.0,5.0),(1.0,5.0)]",q DIV C,DIV q C,OP_DIV VAR VAR,DIV q C,"{}"
I.26.2,"['n','theta2']","[(0.0,1.0),(1.0,5.0)]",arcsin ( n MUL sin ( theta2 ) ),arcsin MUL n sin theta2,FUNC OP_MUL VAR FUNC VAR,arcsin MUL n sin theta2,"{}"
I.27.6,"['d1','d2','n']","[(1.0,5.0),(1.0,5.0),(1.0,5.0)]",1 DIV ( 1 DIV d1 ADD n DIV d2 ),DIV 1 ADD DIV 1 d1 DIV n d2,OP_DIV NUM OP_ADD OP_DIV NUM VAR OP_DIV VAR VAR,DIV <C_0> ADD DIV <C_0> d1 DIV n d2,"{'<C_0>': 1.0}"
I.29.4,"['omega','c']","[(1.0,10.0),(1.0,10.0)]",omega DIV c,DIV omega c,OP_DIV VAR VAR,DIV omega c,"{}"
I.29.16,"['x1','x2','theta1','theta2']","[(1.0,5.0),(1.0,5.0),(1.0,5.0),(1.0,5.0)]",sqrt ( x1 POW 2 ADD x2 POW 2 SUB 2 MUL x1 MUL x2 MUL cos ( theta1 SUB theta2 ) ),sqrt SUB ADD POW x1 2 POW x2 2 MUL MUL MUL 2 x1 x2 cos SUB theta1 theta2,FUNC OP_SUB OP_ADD OP_POW VAR NUM OP_POW VAR NUM OP_MUL OP_MUL OP_MUL NUM VAR VAR FUNC OP_SUB VAR VAR,sqrt SUB ADD POW x1 <C_0> POW x2 <C_0> MUL MUL MUL <C_0> x1 x2 cos SUB theta1 theta2,"{'<C_0>': 2.0}"
I.30.3,"['Int_0','theta','n']","[(1.0,5.0),(1.0,5.0),(1.0,5.0)]",Int_0 MUL sin ( n MUL theta DIV 2 ) POW 2 DIV sin ( theta DIV 2 ) POW 2,DIV MUL Int_0 POW sin DIV MUL n theta 2 2 POW sin DIV theta 2 2,OP_DIV OP_MUL VAR OP_POW FUNC OP_DIV OP_MUL VAR VAR NUM NUM OP_POW FUNC OP_DIV VAR NUM NUM,DIV MUL Int_0 POW sin DIV MUL n theta <C_0> <C_0> POW sin DIV theta <C_0> <C_0>,"{'<C_0>': 2.0}"
I.30.5,"['lambd','d','n']","[(1.0,2.0),(2.0,5.0),(1.0,5.0)]",arcsin ( lambd DIV ( n MUL d ) ),arcsin DIV lambd MUL n d,FUNC OP_DIV VAR OP_MUL VAR VAR,arcsin DIV lambd MUL n d,"{}"
I.32.5,"['q','a','epsilon','c']","[(1.0,5.0),(1.0,5.0),(1.0,5.0),(1.0,5.0)]",q POW 2 MUL a POW 2 DIV ( 6 MUL pi MUL epsilon MUL c POW 3 ),DIV MUL POW q 2 POW a 2 MUL MUL MUL 6 pi epsilon POW c 3,OP_DIV OP_MUL OP_POW VAR NUM OP_POW VAR NUM OP_MUL OP_MUL OP_MUL NUM CONST VAR OP_POW VAR NUM,DIV MUL POW q <C_0> POW a <C_0> MUL MUL MUL <C_1> pi epsilon POW c <C_2>,"{'<C_0>': 2.0,'<C_1>': 6.0,'<C_2>': 3.0}"
I.32.17,"['epsilon','c','Ef','r','omega','omega_0']","[(1.0,2.0),(1.0,2.0),(1.0,2.0),(1.0,2.0),(1.0,2.0),(3.0,5.0)]",( 1 DIV 2 MUL epsilon MUL c MUL Ef POW 2 ) MUL ( 8 MUL pi MUL r POW 2 DIV 3 ) MUL ( omega POW 4 DIV ( omega POW 2 SUB omega_0 POW 2 ) POW 2 ),MUL MUL MUL MUL MUL DIV 1 2 epsilon c POW Ef 2 DIV MUL MUL 8 pi POW r 2 3 DIV POW omega 4 POW SUB POW omega 2 POW omega_0 2 2,OP_MUL OP_MUL OP_MUL OP_MUL OP_MUL OP_DIV NUM NUM VAR VAR OP_POW VAR NUM OP_DIV OP_MUL OP_MUL NUM CONST OP_POW VAR NUM NUM OP_DIV OP_POW VAR NUM OP_POW OP_SUB OP_POW VAR NUM OP_POW VAR NUM NUM,MUL MUL MUL MUL MUL DIV <C_0> <C_1> epsilon c POW Ef <C_1> DIV MUL MUL <C_2> pi POW r <C_1> <C_3> DIV POW omega <C_4> POW SUB POW omega <C_1> POW omega_0 <C_1> <C_1>,"{'<C_0>': 1.0,'<C_1>': 2.0,'<C_2>': 8.0,'<C_3>': 3.0,'<C_4>': 4.0}"
I.34.8,"['q','v','B','p']","[(1.0,5.0),(1.0,5.0),(1.0,5.0),(1.0,5.0)]",q MUL v MUL B DIV p,DIV MUL MUL q v B p,OP_DIV OP_MUL OP_MUL VAR VAR VAR VAR,DIV MUL MUL q v B p,"{}"
I.34.1,"['c','v','omega_0']","[(3.0,10.0),(1.0,2.0),(1.0,5.0)]",omega_0 DIV ( 1 SUB v DIV c ),DIV omega_0 SUB 1 DIV v c,OP_DIV VAR OP_SUB NUM OP_DIV VAR VAR,DIV omega_0 SUB <C_0> DIV v c,"{'<C_0>': 1.0}"
I.34.14,"['c','v','omega_0']","[(3.0,10.0),(1.0,2.0),(1.0,5.0)]",( 1 ADD v DIV c ) DIV sqrt ( 1 SUB v POW 2 DIV c POW 2 ) MUL omega_0,MUL DIV ADD 1 DIV v c sqrt SUB 1 DIV POW v 2 POW c 2 omega_0,OP_MUL OP_DIV OP_ADD NUM OP_DIV VAR VAR FUNC OP_SUB NUM OP_DIV OP_POW VAR NUM OP_POW VAR NUM VAR,MUL DIV ADD <C_0> DIV v c sqrt SUB <C_0> DIV POW v <C_1> POW c <C_1> omega_0,"{'<C_0>': 1.0,'<C_1>': 2.0}"
I.34.27,"['omega','h']","[(1.0,5.0),(1.0,5.0)]",( h DIV ( 2 MUL pi ) ) MUL omega,MUL DIV h MUL 2 pi omega,OP_MUL OP_DIV VAR OP_MUL NUM CONST VAR,MUL DIV h MUL <C_0> pi omega,"{'<C_0>': 2.0}"
I.37.4,"['I1','I2','delta']","[(1.0,5.0),(1.0,5.0),(1.0,5.0)]",I1 ADD I2 ADD 2 MUL sqrt ( I1 MUL I2 ) MUL cos ( delta ),ADD ADD I1 I2 MUL MUL 2 sqrt MUL I1 I2 cos delta,OP_ADD OP_ADD VAR VAR OP_MUL OP_MUL NUM FUNC OP_MUL VAR VAR FUNC VAR,ADD ADD I1 I2 MUL MUL <C_0> sqrt MUL I1 I2 cos delta,"{'<C_0>': 2.0}"
I.38.12,"['m','q','h','epsilon']","[(1.0,5.0),(1.0,5.0),(1.0,5.0),(1.0,5.0)]",4 MUL pi MUL epsilon MUL ( h DIV ( 2 MUL pi ) ) POW 2 DIV ( m MUL q POW 2 ),DIV MUL MUL MUL 4 pi epsilon POW DIV h MUL 2 pi 2 MUL m POW q 2,OP_DIV OP_MUL OP_MUL OP_MUL NUM CONST VAR OP_POW OP_DIV VAR OP_MUL NUM CONST NUM OP_MUL VAR OP_POW VAR NUM,DIV MUL MUL MUL <C_0> pi epsilon POW DIV h MUL <C_1> pi <C_1> MUL m POW q <C_1>,"{'<C_0>': 4.0,'<C_1>': 2.0}"
I.39.1,"['pr','V']","[(1.0,5.0),(1.0,5.0)]",3 DIV 2 MUL pr MUL V,MUL MUL DIV 3 2 pr V,OP_MUL OP_MUL OP_DIV NUM NUM VAR VAR,MUL MUL DIV <C_0> <C_1> pr V,"{'<C_0>': 3.0,'<C_1>': 2.0}"
I.39.11,"['gamma','pr','V']","[(2.0,5.0),(1.0,5.0),(1.0,5.0)]",1 DIV ( gamma SUB 1 ) MUL pr MUL V,MUL MUL DIV 1 SUB gamma 1 pr V,OP_MUL OP_MUL OP_DIV NUM OP_SUB VAR NUM VAR VAR,MUL MUL DIV <C_0> SUB gamma <C_0> pr V,"{'<C_0>': 1.0}"
I.39.22,"['n','T','V','kb']","[(1.0,5.0),(1.0,5.0),(1.0,5.0),(1.0,5.0)]",n MUL kb MUL T DIV V,DIV MUL MUL n kb T V,OP_DIV OP_MUL OP_MUL VAR VAR VAR VAR,DIV MUL MUL n kb T V,"{}"
I.40.1,"['n_0','m','x','T','g','kb']","[(1.0,5.0),(1.0,5.0),(1.0,5.0),(1.0,5.0),(1.0,5.0),(1.0,5.0)]",n_0 MUL exp ( SUB m MUL g MUL x DIV ( kb MUL T ) ),MUL n_0 exp DIV MUL MUL NEG m g x MUL kb T,OP_MUL VAR FUNC OP_DIV OP_MUL OP_MUL OP_NEG VAR VAR VAR OP_MUL VAR VAR,MUL n_0 exp DIV MUL MUL NEG m g x MUL kb T,"{}"
I.41.16,"['omega','T','h','kb','c']","[(1.0,5.0),(1.0,5.0),(1.0,5.0),(1.0,5.0),(1.0,5.0)]",h DIV ( 2 MUL pi ) MUL omega POW 3 DIV ( pi POW 2 MUL c POW 2 MUL ( exp ( ( h DIV ( 2 MUL pi ) ) MUL omega DIV ( kb MUL T ) ) SUB 1 ) ),DIV MUL DIV h MUL 2 pi POW omega 3 MUL MUL POW pi 2 POW c 2 SUB exp DIV MUL DIV h MUL 2 pi omega MUL kb T 1,OP_DIV OP_MUL OP_DIV VAR OP_MUL NUM CONST OP_POW VAR NUM OP_MUL OP_MUL OP_POW CONST NUM OP_POW VAR NUM OP_SUB FUNC OP_DIV OP_MUL OP_DIV VAR OP_MUL NUM CONST VAR OP_MUL VAR VAR NUM,DIV MUL DIV h MUL <C_0> pi POW omega <C_1> MUL MUL POW pi <C_0> POW c <C_0> SUB exp DIV MUL DIV h MUL <C_0> pi omega MUL kb T <C_2>,"{'<C_0>': 2.0,'<C_1>': 3.0,'<C_2>': 1.0}"
I.43.16,"['mu_drift','q','Volt','d']","[(1.0,5.0),(1.0,5.0),(1.0,5.0),(1.0,5.0)]",mu_drift MUL q MUL Volt DIV d,DIV MUL MUL mu_drift q Volt d,OP_DIV OP_MUL OP_MUL VAR VAR VAR VAR,DIV MUL MUL mu_drift q Volt d,"{}"
I.43.31,"['mob','T','kb']","[(1.0,5.0),(1.0,5.0),(1.0,5.0)]",mob MUL kb MUL T,MUL MUL mob kb T,OP_MUL OP_MUL VAR VAR VAR,MUL MUL mob kb T,"{}"
I.43.43,"['gamma','kb','A','v']","[(2.0,5.0),(1.0,5.0),(1.0,5.0),(1.0,5.0)]",1 DIV ( gamma SUB 1 ) MUL kb MUL v DIV A,DIV MUL MUL DIV 1 SUB gamma 1 kb v A,OP_DIV OP_MUL OP_MUL OP_DIV NUM OP_SUB VAR NUM VAR VAR VAR,DIV MUL MUL DIV <C_0> SUB gamma <C_0> kb v A,"{'<C_0>': 1.0}"
I.44.4,"['n','kb','T','V1','V2']","[(1.0,5.0),(1.0,5.0),(1.0,5.0),(1.0,5.0),(1.0,5.0)]",n MUL kb MUL T MUL ln ( V2 DIV V1 ),MUL MUL MUL n kb T ln DIV V2 V1,OP_MUL OP_MUL OP_MUL VAR VAR VAR FUNC OP_DIV VAR VAR,MUL MUL MUL n kb T ln DIV V2 V1,"{}"
I.47.23,"['gamma','pr','rho']","[(1.0,5.0),(1.0,5.0),(1.0,5.0)]",sqrt ( gamma MUL pr DIV rho ),sqrt DIV MUL gamma pr rho,FUNC OP_DIV OP_MUL VAR VAR VAR,sqrt DIV MUL gamma pr rho,"{}"
I.48.20,"['m','v','c']","[(1.0,5.0),(1.0,2.0),(3.0,10.0)]",m MUL c POW 2 DIV sqrt ( 1 SUB v POW 2 DIV c POW 2 ),DIV MUL m POW c 2 sqrt SUB 1 DIV POW v 2 POW c 2,OP_DIV OP_MUL VAR OP_POW VAR NUM FUNC OP_SUB NUM OP_DIV OP_POW VAR NUM OP_POW VAR NUM,DIV MUL m POW c <C_0> sqrt SUB <C_1> DIV POW v <C_0> POW c <C_0>,"{'<C_0>': 2.0,'<C_1>': 1.0}"
I.50.26,"['x1','omega','t','alpha']","[(1.0,3.0),(1.0,3.0),(1.0,3.0),(1.0,3.0)]",x1 MUL ( cos ( omega MUL t ) ADD alpha MUL cos ( omega MUL t ) POW 2 ),MUL x1 ADD cos MUL omega t MUL alpha POW cos MUL omega t 2,OP_MUL VAR OP_ADD FUNC OP_MUL VAR VAR OP_MUL VAR OP_POW FUNC OP_MUL VAR VAR NUM,MUL x1 ADD cos MUL omega t MUL alpha POW cos MUL omega t <C_0>,"{'<C_0>': 2.0}"
II.2.42,"['kappa','T1','T2','A','d']","[(1.0,5.0),(1.0,5.0),(1.0,5.0),(1.0,5.0),(1.0,5.0)]",kappa MUL ( T2 SUB T1 ) MUL A DIV d,DIV MUL MUL kappa SUB T2 T1 A d,OP_DIV OP_MUL OP_MUL VAR OP_SUB VAR VAR VAR VAR,DIV MUL MUL kappa SUB T2 T1 A d,"{}"
II.3.24,"['Pwr','r']","[(1.0,5.0),(1.0,5.0)]",Pwr DIV ( 4 MUL pi MUL r POW 2 ),DIV Pwr MUL MUL 4 pi POW r 2,OP_DIV VAR OP_MUL OP_MUL NUM CONST OP_POW VAR NUM,DIV Pwr MUL MUL <C_0> pi POW r <C_1>,"{'<C_0>': 4.0,'<C_1>': 2.0}"
II.4.23,"['q','epsilon','r']","[(1.0,5.0),(1.0,5.0),(1.0,5.0)]",q DIV ( 4 MUL pi MUL epsilon MUL r ),DIV q MUL MUL MUL 4 pi epsilon r,OP_DIV VAR OP_MUL OP_MUL OP_MUL NUM CONST VAR VAR,DIV q MUL MUL MUL <C_0> pi epsilon r,"{'<C_0>': 4.0}"
II.6.11,"['epsilon','p_d','theta','r']","[(1.0,3.0),(1.0,3.0),(1.0,3.0),(1.0,3.0)]",1 DIV ( 4 MUL pi MUL epsilon ) MUL p_d MUL cos ( theta ) DIV r POW 2,DIV MUL MUL DIV 1 MUL MUL 4 pi epsilon p_d cos theta POW r 2,OP_DIV OP_MUL OP_MUL OP_DIV NUM OP_MUL OP_MUL NUM CONST VAR VAR FUNC VAR OP_POW VAR NUM,DIV MUL MUL DIV <C_0> MUL MUL <C_1> pi epsilon p_d cos theta POW r <C_2>,"{'<C_0>': 1.0,'<C_1>': 4.0,'<C_2>': 2.0}"
II.6.15a,"['epsilon','p_d','r','x','y','z']","[(1.0,3.0),(1.0,3.0),(1.0,3.0),(1.0,3.0),(1.0,3.0),(1.0,3.0)]",p_d DIV ( 4 MUL pi MUL epsilon ) MUL 3 MUL z DIV r POW 5 MUL sqrt ( x POW 2 ADD y POW 2 ),MUL DIV MUL MUL DIV p_d MUL MUL 4 pi epsilon 3 z POW r 5 sqrt ADD POW x 2 POW y 2,OP_MUL OP_DIV OP_MUL OP_MUL OP_DIV VAR OP_MUL OP_MUL NUM CONST VAR NUM VAR OP_POW VAR NUM FUNC OP_ADD OP_POW VAR NUM OP_POW VAR NUM,MUL DIV MUL MUL DIV p_d MUL MUL <C_0> pi epsilon <C_1> z POW r <C_2> sqrt ADD POW x <C_3> POW y <C_3>,"{'<C_0>': 4.0,'<C_1>': 3.0,'<C_2>': 5.0,'<C_3>': 2.0}"
II.6.15b,"['epsilon','p_d','theta','r']","[(1.0,3.0),(1.0,3.0),(1.0,3.0),(1.0,3.0)]",p_d DIV ( 4 MUL pi MUL epsilon ) MUL 3 MUL cos ( theta ) MUL sin ( theta ) DIV r POW 3,DIV MUL MUL MUL DIV p_d MUL MUL 4 pi epsilon 3 cos theta sin theta POW r 3,OP_DIV OP_MUL OP_MUL OP_MUL OP_DIV VAR OP_MUL OP_MUL NUM CONST VAR NUM FUNC VAR FUNC VAR OP_POW VAR NUM,DIV MUL MUL MUL DIV p_d MUL MUL <C_0> pi epsilon <C_1> cos theta sin theta POW r <C_1>,"{'<C_0>': 4.0,'<C_1>': 3.0}"
II.8.7,"['q','epsilon','d']","[(1.0,5.0),(1.0,5.0),(1.0,5.0)]",3 DIV 5 MUL q POW 2 DIV ( 4 MUL pi MUL epsilon MUL d ),DIV MUL DIV 3 5 POW q 2 MUL MUL MUL 4 pi epsilon d,OP_DIV OP_MUL OP_DIV NUM NUM OP_POW VAR NUM OP_MUL OP_MUL OP_MUL NUM CONST VAR VAR,DIV MUL DIV <C_0> <C_1> POW q <C_2> MUL MUL MUL <C_3> pi epsilon d,"{'<C_0>': 3.0,'<C_1>': 5.0,'<C_2>': 2.0,'<C_3>': 4.0}"
II.8.31,"['epsilon','Ef']","[(1.0,5.0),(1.0,5.0)]",epsilon MUL Ef POW 2 DIV 2,DIV MUL epsilon POW Ef 2 2,OP_DIV OP_MUL VAR OP_POW VAR NUM NUM,DIV MUL epsilon POW Ef <C_0> <C_0>,"{'<C_0>': 2.0}"
